step,norm_score,mean_reward,elapsed_s,critic_loss,cql_loss,actor_loss,temperature
5000,46.15431341720922,1503.6847206662053,81.12153792381287,4.985693454742432,-0.8232322335243225,-73.31216430664062,0.30882591009140015
10000,92.58101015321307,2995.85161163503,166.7828390598297,4.196834087371826,-1.2470383644104004,-131.96401977539062,0.18218384683132172
15000,91.33579823251466,2955.830155642342,252.47216796875,3.781337022781372,-1.3823570013046265,-180.79025268554688,0.19202882051467896
20000,86.5020256907643,2800.47136743718,341.2981481552124,4.337892055511475,-1.4613761901855469,-216.34275817871094,0.19868305325508118
25000,97.7147053763332,3160.849997883003,431.2645380496979,3.8062360286712646,-1.3194864988327026,-238.6305389404297,0.20489974319934845
30000,92.26475178356876,2985.6869800469062,519.2153468132019,4.722899436950684,-1.3949527740478516,-257.7170104980469,0.21062152087688446
35000,102.47258869389246,3313.769685405143,609.0274000167847,3.773423194885254,-1.7786917686462402,-268.50946044921875,0.21150916814804077
40000,104.95992472129313,3393.713354193513,698.07461810112,3.956583261489868,-1.6535615921020508,-276.61102294921875,0.21814122796058655
45000,103.29395855705918,3340.1687402857046,787.2714619636536,3.7602486610412598,-1.454450011253357,-290.4906311035156,0.2197718471288681
50000,109.20222338839261,3530.0620082587056,878.8054089546204,3.5246121883392334,-1.5527586936950684,-295.623291015625,0.22555701434612274
55000,97.6111625302536,3157.5221021338134,969.8719019889832,4.043703079223633,-1.358262062072754,-297.4368896484375,0.22629696130752563
60000,96.16620284398957,3111.0806976357026,1060.7062878608704,3.5086095333099365,-1.673250436782837,-304.883544921875,0.22861981391906738
65000,105.46888079492862,3410.071343355542,1151.6154959201813,2.8227555751800537,-1.7793235778808594,-308.89727783203125,0.23107415437698364
70000,109.30512855832487,3533.3694089199153,1243.3387699127197,3.423555850982666,-1.7569031715393066,-300.29541015625,0.23127664625644684
75000,101.36750989462597,3278.2521467451443,1334.2265439033508,2.950151205062866,-1.6757971048355103,-306.7364196777344,0.23348893225193024
80000,104.20750307462743,3369.5303140865026,1424.8760659694672,3.8544764518737793,-1.486311435699463,-305.62744140625,0.235112726688385
85000,95.97098288723053,3104.8062741593,1514.7147378921509,3.0368459224700928,-1.600468635559082,-308.32952880859375,0.2345224916934967
90000,85.11342354652486,2755.8413099479603,1604.3614830970764,3.688080072402954,-1.5829904079437256,-307.6702575683594,0.23872315883636475
95000,108.64027084963091,3512.000698030149,1696.118801832199,3.436612129211426,-1.777152419090271,-302.91168212890625,0.238823801279068
100000,60.41878699183968,1962.1488519007848,1783.5545659065247,3.3508999347686768,-1.750607967376709,-310.3753662109375,0.24007676541805267
105000,104.54871205993331,3380.4968653720616,1874.1653819084167,3.3531126976013184,-1.4941412210464478,-308.4273681640625,0.24299973249435425
110000,108.88897443616823,3519.9941001799175,1966.390972852707,3.8361902236938477,-1.7396330833435059,-307.4498596191406,0.24289655685424805
115000,109.00573747846445,3523.746896696842,2058.06924200058,2.9520864486694336,-1.4937374591827393,-304.74700927734375,0.245387464761734
120000,109.18162102421947,3529.3998425683567,2149.8972799777985,3.474419116973877,-2.1587255001068115,-304.7322692871094,0.24547860026359558
125000,109.44110499893618,3537.7397293798385,2241.851386785507,3.3161373138427734,-1.7139573097229004,-306.6778869628906,0.24718207120895386
130000,110.86884331147901,3583.6276341570906,2333.406506061554,3.017458438873291,-1.880875587463379,-308.4925537109375,0.2477286010980606
135000,109.88046969601133,3551.8610324258866,2425.002499103546,3.4734034538269043,-1.4951142072677612,-310.2359924316406,0.24955905973911285
140000,98.17200204809268,3175.547639561666,2516.275437116623,3.0863049030303955,-1.6691747903823853,-302.7977294921875,0.24957886338233948
145000,106.893379430681,3455.855124023521,2608.0438709259033,4.166688919067383,-1.7440595626831055,-304.99407958984375,0.24782291054725647
150000,109.53687006166417,3540.81764501805,2700.3098199367523,2.981461524963379,-1.919199824333191,-306.8370056152344,0.25255173444747925
155000,109.39296067274289,3536.192357402415,2792.78852891922,2.9864821434020996,-1.6424763202667236,-309.51129150390625,0.2507990002632141
160000,99.17274892056427,3207.7119211997497,2882.837157011032,3.502842426300049,-1.810983419418335,-306.1759033203125,0.25300827622413635
165000,110.79819002058697,3581.356817820392,2974.837571144104,2.846552848815918,-2.060336112976074,-308.36962890625,0.25343865156173706
170000,92.7165034202109,3000.206402761201,3065.4626569747925,2.970963478088379,-1.7847330570220947,-303.5444030761719,0.25374823808670044
175000,109.36704774488481,3535.359508724471,3156.673106908798,3.481255054473877,-1.8172798156738281,-307.4534912109375,0.2557508051395416
180000,103.36691217417754,3342.513489744393,3247.9709339141846,2.8581185340881348,-1.8529987335205078,-302.4803771972656,0.2558418810367584
185000,94.78445477167023,3066.67093191623,3338.2334439754486,2.4515466690063477,-1.866553544998169,-303.8183288574219,0.2550165057182312
190000,110.0210703172728,3556.379975332572,3430.077572822571,3.043593406677246,-1.7634238004684448,-305.61279296875,0.25683802366256714
195000,109.57982345821058,3542.198179078995,3522.0947749614716,3.2830557823181152,-1.818077564239502,-300.50701904296875,0.25667035579681396
200000,104.19116269608986,3369.0051297948366,3613.227331161499,3.411694049835205,-1.7566630840301514,-303.5255126953125,0.2572687566280365
205000,103.88902744824797,3359.294419252842,3704.4816410541534,3.486621856689453,-1.7524664402008057,-303.46075439453125,0.2563319802284241
210000,109.25718341140185,3531.8284386194014,3796.52876996994,3.604231834411621,-1.9644508361816406,-304.33709716796875,0.2573532164096832
215000,109.80379181716569,3549.396584163849,3888.6602799892426,3.2370522022247314,-1.531869888305664,-304.88525390625,0.257866770029068
220000,109.56271924196206,3541.6484448317547,3979.13326215744,2.8626341819763184,-1.8109467029571533,-304.55865478515625,0.25896498560905457
225000,99.0298483565905,3203.1190574973216,4069.408903837204,2.6750378608703613,-1.517419695854187,-305.972412109375,0.25872141122817993
230000,109.47738421520879,3538.905753438369,4161.123505830765,2.9205188751220703,-1.7908990383148193,-304.57952880859375,0.2612690329551697
235000,100.66192380669632,3255.5744144670184,4250.800426006317,3.502251148223877,-1.6157402992248535,-306.8990173339844,0.259878545999527
240000,109.13553527202937,3527.9186337295178,4342.154515028,4.03421688079834,-1.775963306427002,-300.408935546875,0.261032372713089
245000,109.55110924790705,3541.275296407439,4434.888031959534,3.5250134468078613,-1.6809048652648926,-305.00152587890625,0.26082804799079895
250000,109.1228340467365,3527.5104128310004,4526.578885793686,2.878147840499878,-1.9216588735580444,-300.2710266113281,0.2614135444164276
255000,109.87150920187385,3551.5730396626996,4618.040439128876,3.4534666538238525,-1.6205708980560303,-296.33612060546875,0.2602602243423462
260000,104.83228952816344,3389.6111237377577,4708.872006893158,3.5232014656066895,-1.8938326835632324,-299.1468505859375,0.2628331482410431
265000,110.39362187432738,3568.35388555446,4795.50812792778,2.983353853225708,-1.8807564973831177,-303.0228271484375,0.2610156834125519
270000,106.45846365170225,3441.876810437219,4881.82507109642,3.7393500804901123,-1.790407419204712,-303.6997375488281,0.2633167803287506
275000,109.47954633360565,3538.975244522443,4968.160260915756,3.321234703063965,-1.7803651094436646,-301.4778137207031,0.2627544403076172
280000,99.44702240993809,3216.527147108267,5058.931953907013,3.777691602706909,-1.5188757181167603,-297.00067138671875,0.26270705461502075
285000,109.70262850678876,3546.145167351156,5150.892638921738,3.724008560180664,-1.876143455505371,-305.540771484375,0.26527711749076843
290000,98.50961871212348,3186.3987326465513,5241.706417798996,2.755868911743164,-2.204803466796875,-300.2650146484375,0.2626667618751526
295000,99.58330607977838,3220.907342000696,5332.187874078751,3.176846504211426,-1.676802396774292,-305.4849853515625,0.26326820254325867
300000,105.88699681842691,3423.50970814801,5423.596255064011,3.3956472873687744,-1.8757319450378418,-300.1859436035156,0.2663775086402893
305000,109.6981833482062,3546.002298723226,5514.906497955322,3.3891208171844482,-1.7560374736785889,-301.62005615234375,0.2660147249698639
310000,109.19277215437057,3529.7582429797185,5607.207859992981,2.823042392730713,-1.7074365615844727,-297.48419189453125,0.2659890353679657
315000,109.67585927529859,3545.2847968373235,5699.317172050476,3.4333958625793457,-1.7721209526062012,-300.10528564453125,0.2653215825557709
320000,107.35274806332811,3470.6193590989415,5791.006791830063,3.2978780269622803,-1.8785135746002197,-298.8995056152344,0.2672208845615387
325000,109.84536502701432,3550.7327586420847,5882.816282749176,2.6371235847473145,-2.1124749183654785,-300.53515625,0.26826298236846924
330000,87.84331196881723,2843.580679883036,5972.435678958893,3.254136562347412,-2.1879305839538574,-302.60308837890625,0.26797375082969666
335000,103.44873710023433,3345.1433655292713,6062.7873878479,2.7611136436462402,-1.4047250747680664,-304.5425109863281,0.26743370294570923
340000,88.37568207560989,2860.691202555253,6152.488911151886,3.5258870124816895,-1.6057639122009277,-296.8872985839844,0.26835548877716064
345000,109.99282657366048,3555.4722135907678,6244.23538517952,3.2813282012939453,-1.6452627182006836,-301.87506103515625,0.26861584186553955
350000,95.17505008719867,3079.2247735326873,6334.284811973572,2.707383632659912,-2.0019402503967285,-300.16265869140625,0.2646559774875641
355000,104.27503176756015,3371.700704979431,6425.099675893784,3.394415855407715,-1.6504764556884766,-299.513671875,0.26966580748558044
360000,109.6702435133291,3545.1043046923382,6516.963914871216,3.5351428985595703,-2.008155345916748,-301.3697509765625,0.2696390151977539
365000,103.15484311406398,3335.697531419817,6607.593023061752,2.73555064201355,-1.923417091369629,-297.1004943847656,0.26866957545280457
370000,76.85474852394495,2490.4052074821943,6691.607048988342,3.5319552421569824,-1.6993657350540161,-298.77581787109375,0.27064332365989685
375000,109.76985441335256,3548.3058266063317,6783.412756919861,3.182497262954712,-2.1431374549865723,-297.88140869140625,0.2697250247001648
380000,106.13583353214446,3431.50738904222,6874.711692094803,3.8370697498321533,-2.166358470916748,-303.6245422363281,0.2704484462738037
385000,111.03095605031046,3588.8379824802564,6965.730470895767,2.9559569358825684,-2.0015640258789062,-295.79412841796875,0.27047988772392273
390000,109.50271076511804,3539.7197557666404,7057.381161928177,3.1542739868164062,-2.0285720825195312,-299.90228271484375,0.2695719599723816
395000,104.29073292308253,3372.2053444663557,7148.631263971329,3.647611141204834,-1.8999963998794556,-295.12432861328125,0.27090537548065186
400000,104.87222157167828,3390.8945506755044,7239.68332695961,3.572542667388916,-1.847724437713623,-300.25115966796875,0.2708550691604614
405000,109.97024217481386,3554.746344757088,7331.155972957611,2.5682411193847656,-1.6651129722595215,-298.78167724609375,0.27137479186058044
410000,109.79906983918228,3549.244818483711,7422.570490837097,3.456329584121704,-1.8373793363571167,-296.22216796875,0.2735338807106018
415000,104.89443615582633,3391.6085335623516,7513.6306409835815,2.4053378105163574,-2.012193441390991,-298.9134216308594,0.2741813063621521
420000,109.90980184521322,3552.8037758247738,7605.329852819443,3.2128915786743164,-1.9400418996810913,-298.6979064941406,0.2725023329257965
425000,103.90337865837915,3359.755671121026,7696.430999040604,3.012429714202881,-2.1280715465545654,-299.8340759277344,0.2731534242630005
430000,105.92459541622212,3424.7181374940797,7786.669021844864,3.2401442527770996,-1.8490259647369385,-300.7275390625,0.2718851864337921
435000,110.32274953120674,3566.076028818467,7871.2566130161285,3.0445942878723145,-2.0487937927246094,-299.93951416015625,0.2729574739933014
440000,110.03355473096296,3556.781227846133,7958.247241973877,2.9550466537475586,-1.7781230211257935,-298.664306640625,0.27465376257896423
445000,109.78865003474003,3548.9099230831716,8044.550791978836,2.45711088180542,-1.7527605295181274,-298.94781494140625,0.2752462327480316
450000,78.894743691863,2555.9712171557426,8127.908612728119,3.1978683471679688,-1.8730998039245605,-298.0161437988281,0.2753758132457733
455000,97.75163273662892,3162.03685346994,8214.227359056473,3.213439702987671,-2.1560418605804443,-295.09185791015625,0.27412113547325134
460000,101.26714722809731,3275.026462847473,8299.259332895279,2.4824423789978027,-1.778936743736267,-295.7207946777344,0.2730239927768707
465000,74.30713599655601,2408.5242352906243,8382.33979177475,2.896122694015503,-2.038550615310669,-296.0853271484375,0.27597692608833313
470000,109.21411652069399,3530.4442568246754,8468.235204935074,3.1179890632629395,-1.9173862934112549,-296.8140563964844,0.27341318130493164
475000,109.8352467089777,3550.40755309812,8555.057796001434,2.5716798305511475,-2.206698417663574,-297.0606994628906,0.2739832103252411
480000,107.28991736369238,3468.599963011687,8640.055572986603,3.2596583366394043,-2.0382437705993652,-297.45184326171875,0.27536699175834656
485000,109.80192440139851,3549.3365649039115,8725.559401035309,3.47847843170166,-1.9560593366622925,-298.533935546875,0.27495089173316956
490000,109.74985363147802,3547.662995937667,8813.18752002716,2.7533535957336426,-2.1361067295074463,-295.4142761230469,0.2769771218299866
495000,109.89391476431439,3552.2931606447587,8899.688960075378,3.297403335571289,-2.227273464202881,-300.6418762207031,0.2770816385746002
500000,110.25289976826764,3563.831038092713,8986.31615781784,2.9198107719421387,-1.8830032348632812,-301.6622314453125,0.27594977617263794
505000,110.65696541267505,3576.817819809947,9073.33225607872,3.7494454383850098,-1.6620094776153564,-297.99676513671875,0.27643725275993347
510000,100.68289549774563,3256.2484504254526,9159.06335401535,2.766542673110962,-1.771289348602295,-300.47467041015625,0.27682048082351685
515000,110.20563345288372,3562.3118856258675,9248.838111877441,2.899840831756592,-1.7272588014602661,-295.40869140625,0.2798409163951874
520000,104.79563051183005,3388.432892800088,9336.90149307251,5.255837917327881,-2.1108813285827637,-292.6397705078125,0.27714306116104126
525000,106.79786773351054,3452.7853516244977,9427.77967786789,3.5828585624694824,-1.9483351707458496,-287.6934814453125,0.2764413058757782
530000,109.70862372047772,3546.3378551794935,9519.663282871246,2.7152891159057617,-1.7707743644714355,-296.937255859375,0.27666160464286804
535000,109.60217640010458,3542.916608822116,9611.27973985672,2.8572640419006348,-1.7692922353744507,-300.7293395996094,0.2767955958843231
540000,109.86260124350345,3551.2867354136156,9702.58733010292,2.7543299198150635,-1.9193477630615234,-294.57708740234375,0.27756890654563904
545000,110.11748148708942,3559.478657031552,9793.864858865738,3.433976411819458,-2.2260451316833496,-296.3793640136719,0.27880269289016724
550000,100.37116611886267,3246.229381854703,9883.898554801941,3.122194766998291,-1.9854456186294556,-294.452392578125,0.27893438935279846
555000,109.64901019102295,3544.4218598328507,9976.087776899338,3.148967981338501,-1.9576573371887207,-295.75006103515625,0.2791263163089752
560000,93.51418573038067,3025.844133128173,10066.899518966675,3.6706230640411377,-1.9286134243011475,-296.27099609375,0.27788683772087097
565000,104.56604086043222,3381.0538178193083,10158.843163967133,3.20365047454834,-1.9429839849472046,-295.0903015136719,0.27908843755722046
570000,110.10518575239026,3559.083468713017,10250.225440979004,3.4450364112854004,-2.3672165870666504,-296.75189208984375,0.2809324860572815
575000,109.40354412453459,3536.5325124740875,10343.194467067719,3.112581253051758,-1.6584376096725464,-294.1073913574219,0.27933213114738464
580000,67.53418594055809,2190.8397447223333,10431.371417045593,2.8340935707092285,-2.002631187438965,-295.88861083984375,0.27918899059295654
585000,103.88516101810936,3359.170151117379,10522.229501962662,2.965893507003784,-1.7840144634246826,-300.8247985839844,0.2827417552471161
590000,109.64029025617887,3544.1415987119753,10613.860013961792,3.3528189659118652,-1.989776611328125,-296.6460266113281,0.2797153890132904
595000,104.50810021071504,3379.1915892907346,10704.903969049454,2.9288320541381836,-1.9532989263534546,-299.9573669433594,0.28019681572914124
600000,110.07762474069244,3558.1976501640274,10797.347557783127,3.080613613128662,-1.8109254837036133,-301.23779296875,0.27926525473594666
605000,89.5488523031319,2898.3972185773046,10887.365238904953,2.5739736557006836,-1.9431135654449463,-300.3038330078125,0.27982649207115173
610000,110.52679787305648,3572.6341990367064,10979.12373495102,2.795018196105957,-2.135472536087036,-297.19232177734375,0.28188231587409973
615000,110.33681071822494,3566.5279592634784,11071.33092880249,3.328491449356079,-1.9238961935043335,-297.73431396484375,0.28178927302360535
620000,109.97014057045149,3554.743079164742,11163.71569108963,3.336024761199951,-1.7339458465576172,-291.1614990234375,0.2801065146923065
625000,104.51511016114235,3379.416891038874,11254.313809871674,3.858914375305176,-1.7721613645553589,-293.92193603515625,0.28001177310943604
630000,110.05280223934784,3557.3998480962196,11346.228207111359,3.1522750854492188,-1.942955493927002,-296.479736328125,0.28192564845085144
635000,110.64432525299048,3576.411561576993,11435.96305513382,2.8158955574035645,-2.1134331226348877,-294.2554931640625,0.28099843859672546
640000,110.42730595746117,3569.4365013151873,11527.289018154144,3.54293155670166,-1.8970621824264526,-293.267578125,0.28106197714805603
