step,norm_score,mean_reward,elapsed_s,bc_loss
5000,6.143217747645807,482.512523842683,12.779837846755981,0.09267624467611313
10000,8.956083305511358,831.7348165589931,25.497445106506348,0.0900159627199173
15000,9.407266037088224,887.7499600892945,37.83441495895386,0.08796274662017822
20000,32.48780570812933,3753.2402635672056,50.16295123100281,0.08258173614740372
25000,42.92866635085535,5049.491796594988,62.584433794021606,0.07365322858095169
30000,52.40834572979326,6226.410955660767,74.98219299316406,0.07906058430671692
35000,46.01252201506244,5432.357995958524,87.44233012199402,0.08741047978401184
40000,64.58968437032338,7738.745946753521,99.79353904724121,0.0781487300992012
45000,73.25111187219954,8814.077670995803,112.20604681968689,0.0839417576789856
50000,24.38719666241719,2747.535154259137,124.59264707565308,0.0780777856707573
55000,64.66139527010239,7747.648983289891,136.9902060031891,0.06789817661046982
60000,66.0638754386842,7921.7694059996575,149.40552282333374,0.07071231305599213
65000,81.21954116367588,9803.372427275859,161.79895114898682,0.07081083953380585
70000,74.65109509681757,8987.88809364411,174.12113785743713,0.07398167252540588
75000,76.81880823781829,9257.013559287047,186.48807287216187,0.05896364897489548
80000,70.10886716920488,8423.962367977852,198.85624289512634,0.08034177124500275
85000,90.63030209145447,10971.735237298575,211.20797991752625,0.06867307424545288
90000,102.48274119465472,12443.236762256234,223.59461498260498,0.07202142477035522
95000,84.99866419080101,10272.557313947475,235.7210931777954,0.07179594039916992
100000,108.81728214502164,13229.681357095353,247.34189701080322,0.07200136035680771
105000,88.70396475032737,10732.577009159182,259.43621492385864,0.06079139560461044
110000,122.66418927988826,14948.79965734477,271.8364589214325,0.0766853392124176
115000,96.1137483354581,11652.51490128318,284.19707012176514,0.07465260475873947
120000,99.4577344323557,12067.67675937646,296.48148798942566,0.05999836325645447
125000,121.22763517997659,14770.448895084079,308.79096603393555,0.07324825972318649
130000,117.30425299290776,14283.353975549358,321.1634018421173,0.06322883814573288
135000,106.09722053401136,12891.980840456574,333.52516984939575,0.058006905019283295
140000,106.81437288959465,12981.016588767892,345.8817939758301,0.0698467344045639
145000,116.606028597726,14196.668167394038,358.2142300605774,0.060044609010219574
150000,111.37011130643653,13546.61966584938,370.59295296669006,0.06910115480422974
155000,99.59995800157937,12085.334070008921,382.9447090625763,0.07024969160556793
160000,121.32001070789329,14781.917482183713,395.2436888217926,0.07598483562469482
165000,104.63975364563032,12711.033718083345,407.581906080246,0.07332412153482437
170000,94.67439920131768,11473.817130521193,419.9318850040436,0.07866091281175613
175000,98.49596731144632,11948.271650204444,432.3019390106201,0.05593063682317734
180000,92.9365259429683,11258.057055520785,444.31523513793945,0.0693591833114624
185000,93.96644160020635,11385.922927431855,456.6503059864044,0.06577490270137787
190000,73.96369210225743,8902.545781741188,468.7507870197296,0.0749257504940033
195000,107.7257200688393,13094.161971954234,480.953763961792,0.06599974632263184
200000,101.44986554930779,12315.003402524459,493.06754899024963,0.06442513316869736
205000,110.43674269722013,13430.740282724038,504.6455030441284,0.06943082064390182
210000,113.03493597695291,13753.310627947681,516.3612060546875,0.06508632749319077
