step,norm_score,mean_reward,elapsed_s,critic_loss,cql_loss,actor_loss,temperature
5000,26.871667992546143,883.9351563888837,83.19981122016907,5.386412620544434,-1.3603246212005615,-61.400718688964844,0.33124616742134094
10000,24.460482748403283,806.4389948643787,165.89149022102356,3.8027377128601074,-1.6014964580535889,-107.10770416259766,0.22102491557598114
15000,19.877647293534945,659.1453941286311,247.5149462223053,5.547387599945068,-1.4593393802642822,-145.75540161132812,0.23056703805923462
20000,64.8199201827935,2103.602491551878,333.55571722984314,3.8438684940338135,-1.490351676940918,-171.29513549804688,0.23776346445083618
25000,66.52567662480826,2158.4259760074788,419.76137709617615,4.411012172698975,-1.851686954498291,-191.68673706054688,0.24440719187259674
30000,36.132739618954815,1181.5885633154453,503.1212339401245,3.274442195892334,-1.8593822717666626,-210.5747833251953,0.24587661027908325
35000,17.767337101975187,591.3194401214929,583.9836113452911,3.1053414344787598,-2.046110153198242,-217.3456268310547,0.2497032731771469
40000,59.09814600492065,1919.7030848296858,670.3420281410217,3.3464436531066895,-1.7134428024291992,-229.16387939453125,0.2519589960575104
45000,84.49832955821486,2736.0720188133973,757.5074231624603,4.510558128356934,-1.8563005924224854,-230.78286743164062,0.2551562786102295
50000,98.17107001824328,3175.517683864181,846.3850162029266,3.478746175765991,-1.705897331237793,-234.5006103515625,0.2563323676586151
55000,91.77609352347692,2969.98136823365,935.3738062381744,3.345510959625244,-1.572965145111084,-248.7654266357422,0.2594013214111328
60000,91.41186832569241,2958.275069504687,1024.2134041786194,4.326433181762695,-1.89085853099823,-242.04595947265625,0.2623711824417114
65000,96.49444013469598,3121.6303350643243,1114.3654420375824,3.430570125579834,-1.958846092224121,-249.35772705078125,0.2648371458053589
70000,97.0164894798437,3138.409145598938,1204.5166611671448,3.655433416366577,-1.9125474691390991,-242.5614776611328,0.2651204764842987
75000,91.71898250654576,2968.145804332586,1293.4271070957184,4.322770595550537,-1.9652464389801025,-243.1920166015625,0.26828402280807495
80000,97.27691028644118,3146.7791424465236,1383.7095921039581,3.5942699909210205,-1.749363660812378,-240.7027587890625,0.2724446952342987
85000,97.59252676088511,3156.9231433451337,1472.8849041461945,4.12741756439209,-1.7055788040161133,-246.26385498046875,0.27144116163253784
90000,96.93105204168813,3135.66316267472,1563.5346791744232,2.9885716438293457,-1.7508301734924316,-243.33282470703125,0.27300432324409485
95000,96.90528163040149,3134.8348945188513,1653.3409640789032,4.747282028198242,-1.709357738494873,-246.75411987304688,0.2732482850551605
100000,91.98936094900499,2976.835842354535,1742.307025194168,4.853879928588867,-1.7238523960113525,-242.19662475585938,0.2766704261302948
105000,97.06482590734439,3139.9626917655837,1831.6421329975128,4.011997222900391,-1.7852301597595215,-243.6396484375,0.27833595871925354
110000,97.47781801785386,3153.236372575523,1920.941694021225,4.654671669006348,-1.7549017667770386,-251.7717742919922,0.2779650390148163
115000,97.23075389963905,3145.295663391692,2010.2237529754639,4.026279449462891,-1.8585894107818604,-238.20156860351562,0.2796478569507599
120000,96.94575956720618,3136.135866618119,2099.1871643066406,4.708443641662598,-1.7814059257507324,-245.71527099609375,0.28173592686653137
125000,97.1318732613442,3142.117612291903,2188.942521095276,4.179543972015381,-1.7434130907058716,-246.37893676757812,0.28086960315704346
130000,91.80580795402365,2970.936398260833,2278.3825023174286,4.416820526123047,-1.8851768970489502,-251.22659301757812,0.2826189398765564
135000,86.1484439822916,2789.107153402413,2367.0209500789642,3.6806209087371826,-1.7881522178649902,-246.7802734375,0.2814674377441406
140000,97.10204828144718,3141.1590291779844,2456.8458120822906,5.783687591552734,-2.119443893432617,-247.4274444580078,0.28269773721694946
145000,81.3613363289641,2635.2481876350025,2544.229674100876,4.051666259765625,-1.924973487854004,-243.57138061523438,0.2827216386795044
150000,96.97705560313287,3137.14172988024,2634.2785301208496,5.195693016052246,-1.961780309677124,-249.5479736328125,0.28430548310279846
155000,97.02737513050724,3138.759013426045,2724.3298211097717,3.4484407901763916,-1.4824771881103516,-240.96160888671875,0.2861693203449249
160000,96.78584379288785,3130.996129342854,2814.9591710567474,2.9928297996520996,-1.9631567001342773,-248.23410034179688,0.2840060293674469
165000,92.75498184481957,3001.443109984723,2904.2759771347046,3.129412889480591,-1.751713752746582,-249.70068359375,0.2868204414844513
170000,96.35522745768561,3117.1560010702606,2993.853622198105,4.222179412841797,-1.916672945022583,-243.5294189453125,0.28360942006111145
175000,97.24221448687817,3145.664009839567,3084.278747320175,3.2366275787353516,-2.0127787590026855,-243.57852172851562,0.2864304184913635
180000,86.15775497768105,2789.40641137291,3173.3739652633667,2.758148193359375,-1.895342469215393,-247.67752075195312,0.28506824374198914
185000,92.3072298786941,2987.0522377885436,3262.963804960251,3.364687204360962,-1.9792629480361938,-248.26962280273438,0.2865859568119049
190000,97.72647519818325,3161.2282832169158,3352.961694955826,3.1072940826416016,-1.8598507642745972,-247.1100311279297,0.2870718240737915
195000,96.9894337918387,3137.539568293385,3442.6695082187653,3.589035987854004,-2.0955963134765625,-245.11065673828125,0.2899777591228485
200000,97.64699991215286,3158.673925513219,3532.3275232315063,3.46388578414917,-1.86597740650177,-244.31390380859375,0.28875473141670227
