step,norm_score,mean_reward,elapsed_s,critic_loss,actor_loss
5000,2.911171184386881,81.24815916980087,25.17303228378296,2.7332820892333984,-2.4183270931243896
10000,41.960698055293804,4929.316800492717,50.06168222427368,7.3174238204956055,-2.433295726776123
15000,41.890130685888835,4920.555735298666,75.00140309333801,11.111458778381348,-2.4414520263671875
20000,47.215332086095,5581.689018741923,99.9281919002533,15.068713188171387,-2.44533109664917
25000,52.10668285196829,6188.958969544027,124.75911593437195,16.030784606933594,-2.4416613578796387
30000,55.959328511381,6667.271822585103,149.69961810112,15.874763488769531,-2.4435079097747803
35000,57.78643165298585,6894.10994727123,174.5942142009735,23.060832977294922,-2.4484059810638428
40000,55.220818319892075,6575.5844607256095,199.53253698349,17.35030746459961,-2.4485044479370117
45000,58.818334515083215,7022.222534221747,224.4833221435547,22.451480865478516,-2.4494073390960693
50000,59.51727054312425,7108.9966928700305,249.4766969680786,61.37583923339844,-2.444925546646118
55000,59.37037395616828,7090.759218723598,274.48134899139404,25.294864654541016,-2.4586756229400635
60000,60.26384557754526,7201.685319411821,299.5232651233673,25.06959342956543,-2.4478018283843994
65000,60.64751991704512,7249.319175257469,324.537700176239,26.21466827392578,-2.450881004333496
70000,59.80456456813978,7144.664760196986,349.55157017707825,45.461753845214844,-2.446568489074707
75000,60.802151624449394,7268.51697844979,374.61193799972534,22.24288558959961,-2.4451966285705566
80000,60.581383276890236,7241.108193028738,399.5795969963074,34.460479736328125,-2.444145917892456
85000,60.82938326337801,7271.897835154612,424.47450017929077,17.40671157836914,-2.448485851287842
90000,56.54493294853291,6739.975661414222,449.540274143219,23.91066551208496,-2.4458370208740234
95000,60.38818306639905,7217.1220411586855,474.42448902130127,42.29998779296875,-2.4484996795654297
100000,60.3624250899339,7213.924142285866,499.43120884895325,20.320541381835938,-2.4475576877593994
105000,59.64873614982692,7125.318383203815,524.3450238704681,45.491432189941406,-2.4497594833374023
110000,61.29142878320526,7329.261613285485,549.3271310329437,29.2373104095459,-2.446495294570923
115000,61.00873180063925,7294.164277005182,574.2334849834442,109.8944091796875,-2.4459824562072754
120000,61.14522330247166,7311.109941213314,599.2137970924377,27.124967575073242,-2.43626070022583
125000,61.35734650210467,7337.445416048582,624.2087652683258,17.506237030029297,-2.4605844020843506
130000,62.01326927362159,7418.879401925884,649.1602559089661,33.257606506347656,-2.441309690475464
135000,60.138210124888616,7186.087453136087,674.0931739807129,24.633079528808594,-2.453073501586914
140000,60.80516625215148,7268.89124987377,699.1177499294281,20.882625579833984,-2.4571826457977295
145000,62.09666599404598,7429.233254007505,724.0729520320892,28.938880920410156,-2.4560132026672363
150000,61.890019439836365,7403.577714502174,748.9844541549683,21.73371124267578,-2.45540714263916
155000,61.26993063503083,7326.592579718048,773.9613950252533,32.146278381347656,-2.434708595275879
160000,61.35234711823012,7336.824733594009,798.9865100383759,21.276782989501953,-2.446284294128418
165000,61.56286585203961,7362.961011126046,824.0356621742249,48.01164627075195,-2.457012891769409
170000,61.13535428963179,7309.88468560835,849.0043840408325,36.61486053466797,-2.436427354812622
175000,61.58768834116876,7366.042767572018,874.0004470348358,43.347206115722656,-2.4517171382904053
180000,61.73564388945153,7384.411713662217,898.9921221733093,16.565017700195312,-2.4560482501983643
185000,62.279267951547126,7451.903613802953,924.0129368305206,23.641590118408203,-2.4472804069519043
190000,62.25364910399502,7448.7229880336645,948.9742000102997,24.717056274414062,-2.43595290184021
195000,61.37400080748068,7339.5130778643925,974.0178322792053,45.345458984375,-2.4492881298065186
200000,61.070766252233575,7301.86596518313,998.9523439407349,31.1490478515625,-2.447932243347168
205000,62.393021303129224,7466.026295966907,1023.9243409633636,41.17607498168945,-2.4461982250213623
210000,62.39657262320323,7466.467198709288,1048.8927669525146,121.09925842285156,-2.450474262237549
215000,61.07855299093208,7302.832702727152,1073.8221769332886,67.99466705322266,-2.4459848403930664
220000,63.11114668529735,7555.182847269994,1098.811368227005,21.277008056640625,-2.4441239833831787
