step,norm_score,mean_reward,elapsed_s,critic_loss,actor_loss
5000,2.773582245775949,64.1662462217204,25.458285808563232,11.297414779663086,-2.334440231323242
10000,1.859187557642783,-49.35749064673841,50.48170709609985,29.88961410522461,-2.342829942703247
15000,2.1112928792813896,-18.058163815269143,75.45448088645935,39.746437072753906,-2.350365400314331
20000,1.8816254280377944,-46.571788883955556,100.51391077041626,149.02761840820312,-2.360093355178833
25000,2.4542091891487163,24.515509713783466,125.52816486358643,85.56668090820312,-2.3775861263275146
30000,2.5296084453479044,33.876462300143565,150.6115758419037,190.36990356445312,-2.3750994205474854
35000,2.525316137944275,33.34356465477011,175.6086506843567,206.3750762939453,-2.3586478233337402
40000,3.116889719218838,106.78848340867796,200.69622993469238,171.88816833496094,-2.3768367767333984
45000,1.5472226960798552,-88.08848648025462,225.8862669467926,204.716064453125,-2.3787519931793213
50000,4.9427036611554716,333.4665516489345,250.81496787071228,211.66311645507812,-2.3738467693328857
55000,7.728650927085651,679.3468902503771,275.8370478153229,341.6644287109375,-2.3799519538879395
60000,4.085107109328141,226.994405044814,300.942667722702,147.80181884765625,-2.390073299407959
65000,11.970289741192202,1205.9539395616127,325.94041681289673,540.74853515625,-2.39790940284729
70000,7.269595262207466,622.3543079618665,351.10880994796753,319.44647216796875,-2.3732361793518066
75000,8.879725651748354,822.2548772000039,376.27863097190857,935.6688232421875,-2.399930953979492
80000,14.11942255963121,1472.7726249084683,401.3693997859955,523.6826171875,-2.365614175796509
85000,19.245880654291266,2109.231571311068,426.3868808746338,445.03631591796875,-2.3817086219787598
90000,24.407972421558785,2750.1145019354108,451.3990309238434,307.61798095703125,-2.392756700515747
95000,17.195892466120398,1854.7218692342926,476.3670380115509,335.739501953125,-2.3844408988952637
100000,9.673092139847732,920.7527464506729,501.35446190834045,373.6971435546875,-2.373629570007324
105000,38.3025334075075,4475.1491130746645,526.4117441177368,3327.681640625,-2.4117681980133057
110000,40.385437403491395,4733.745371595254,551.4881429672241,255.0404052734375,-2.3666155338287354
115000,42.588524935520724,5007.262631187926,576.3393638134003,455.84429931640625,-2.3694169521331787
120000,41.98030264022895,4931.7507447954085,599.459312915802,589.85595703125,-2.3987724781036377
125000,22.629129985890213,2529.268030255254,623.611377954483,670.543212890625,-2.381291389465332
130000,39.29039411999923,4597.793788336894,648.5621178150177,197.75802612304688,-2.400975465774536
135000,50.68483970943522,6012.434598967588,673.575758934021,472.30926513671875,-2.412217855453491
140000,39.65607082396279,4643.193205523403,698.6249287128448,386.34326171875,-2.3718109130859375
145000,43.541864063526965,5125.621389958871,723.6316387653351,270.7685852050781,-2.388965129852295
150000,63.14519907636375,7559.410512558665,748.5600740909576,193.55665588378906,-2.375788927078247
155000,68.78808239987465,8259.984575281534,773.5655009746552,317.6757507324219,-2.3830771446228027
160000,67.35765557000394,8082.394524561362,798.6067998409271,524.31103515625,-2.356599807739258
165000,38.84963251983027,4543.072446919812,823.7293179035187,339.357666015625,-2.3876380920410156
170000,59.3945860513197,7093.765193664918,848.8035390377045,186.91748046875,-2.362051248550415
175000,62.47520654182884,7476.229740424415,873.8858478069305,257.6413269042969,-2.4023563861846924
180000,75.3385235752011,9073.233569409309,898.9997239112854,266.809326171875,-2.3719913959503174
185000,52.762675978178486,6270.401690082403,924.1114499568939,266.939453125,-2.389599084854126
190000,49.537599418296494,5870.002663801798,949.3145780563354,850.0897216796875,-2.3684065341949463
195000,55.60878031720894,6623.7506369621315,974.3342499732971,238.1832733154297,-2.3696718215942383
200000,65.58329869557774,7862.1049433364915,999.3781728744507,347.9176025390625,-2.3745062351226807
205000,75.71437998932446,9119.896815829054,1024.456459760666,208.75079345703125,-2.3749005794525146
210000,65.06289973774514,7797.496481452028,1049.5138828754425,262.7032165527344,-2.386281728744507
215000,82.4710381922093,9958.74802295976,1074.5403628349304,328.8236083984375,-2.3943240642547607
220000,49.397420728154586,5852.599228566708,1099.5033218860626,460.533447265625,-2.4006218910217285
225000,69.54609922867247,8354.09372107064,1124.524241924286,847.8015747070312,-2.3721349239349365
230000,70.51577112283994,8474.480221988477,1149.608659029007,179.6183624267578,-2.395812511444092
235000,87.7340880170141,10612.165077094829,1174.6268498897552,460.1798400878906,-2.3836138248443604
240000,68.19311100690767,8186.117812125527,1199.697427034378,413.47113037109375,-2.3502707481384277
245000,67.802732587338,8137.6516327420595,1224.7395288944244,267.4252014160156,-2.423689842224121
250000,62.81774344671791,7518.756310146459,1249.7752211093903,315.2649230957031,-2.3733065128326416
255000,94.00679037568071,11390.932300112341,1274.857127904892,204.31773376464844,-2.377366781234741
260000,75.9448735985652,9148.51300989152,1299.9718079566956,232.5087432861328,-2.4073169231414795
265000,69.82011690195559,8388.113505571586,1325.0872089862823,186.0018310546875,-2.364295482635498
270000,81.43405220186933,9830.004356541514,1350.130919933319,3547.27978515625,-2.36148738861084
275000,86.65971163337635,10478.779326437432,1375.2187118530273,286.82763671875,-2.36216402053833
280000,71.11373203305345,8548.718139060471,1400.4086389541626,250.52865600585938,-2.3502495288848877
285000,77.74431648991799,9371.917065010008,1425.5268819332123,237.24462890625,-2.370696544647217
290000,64.04322924214054,7670.902564691775,1450.5866539478302,314.8255310058594,-2.327294111251831
295000,84.25969404992021,10180.812848547886,1475.6041507720947,240.29470825195312,-2.371086597442627
300000,83.17920567492065,10046.66828322533,1500.7553308010101,343.1575927734375,-2.3831214904785156
305000,89.316485574967,10808.622565662585,1525.8329319953918,403.88592529296875,-2.3904945850372314
310000,97.24706407307352,11793.218078210648,1550.897294998169,267.71649169921875,-2.3634724617004395
315000,90.04231701957549,10898.735838407873,1575.9872949123383,470.3758544921875,-2.307941436767578
320000,95.67423679272768,11597.94875673411,1601.0309348106384,466.60675048828125,-2.384624719619751
325000,74.66168108259562,8989.202362722393,1626.0993468761444,361.39996337890625,-2.3549067974090576
330000,81.05867366019875,9783.400438841949,1651.1447167396545,416.92889404296875,-2.375105857849121
335000,86.12062889455682,10411.851239708254,1676.0967359542847,546.14404296875,-2.408433675765991
340000,86.17831415596308,10419.012968141347,1700.2475819587708,776.3345947265625,-2.3135874271392822
345000,94.22131365357986,11417.565748959361,1724.1416158676147,251.6396026611328,-2.358774423599243
350000,99.14004508870165,12028.235058847198,1749.1097559928894,279.2353820800781,-2.313945770263672
355000,77.00909852583597,9280.63843907462,1774.0644149780273,2543.10546875,-2.374547004699707
360000,87.59650437247686,10595.083821415472,1799.1452250480652,2040.0716552734375,-2.3764476776123047
365000,71.35734655993498,8578.963318528318,1824.1167860031128,519.308349609375,-2.3897993564605713
370000,92.58857367759332,11214.858159103464,1849.2758889198303,534.0059814453125,-2.351494073867798
375000,89.20101681752399,10794.286912791229,1874.020362854004,300.89361572265625,-2.404951572418213
380000,85.63051184394126,10351.002330795167,1899.0557210445404,313.52862548828125,-2.379465341567993
385000,94.61459275059127,11466.392052638072,1924.0996470451355,270.2243957519531,-2.3644137382507324
390000,95.63927102190034,11593.607693713599,1949.231477022171,257.75775146484375,-2.3832497596740723
395000,97.03275837891657,11766.611642774595,1974.3445038795471,116.99510955810547,-2.3413467407226562
400000,76.4294954021126,9208.679674047185,1999.4228250980377,174.03610229492188,-2.3835549354553223
405000,92.58907395009214,11214.920268829446,2024.5534899234772,343.605712890625,-2.344773769378662
410000,86.47305551077403,10455.605634789625,2049.6521599292755,435.64483642578125,-2.382700204849243
415000,98.66158271819917,11968.833099326548,2074.721272945404,369.625,-2.3799405097961426
420000,81.54150168847761,9843.344402588013,2099.7630319595337,182.6448974609375,-2.3572890758514404
425000,83.9712332706981,10144.999926598242,2124.8028078079224,522.33349609375,-2.389852523803711
430000,97.14294042330567,11780.290940759576,2149.895028114319,468.673583984375,-2.340763568878174
435000,91.98041469578976,11139.354133193809,2174.9769248962402,856.0169677734375,-2.3838768005371094
440000,91.91137637134652,11130.782901668028,2200.011986017227,397.04913330078125,-2.3848319053649902
445000,95.08910713915284,11525.303863135725,2225.0032048225403,318.98980712890625,-2.3805251121520996
450000,90.27492188103172,10927.614148211042,2250.041748046875,184.84942626953125,-2.3328771591186523
