step,norm_score,mean_reward,elapsed_s,bc_loss
5000,112.6662079354495,3641.3954309516353,12.539298057556152,0.06791957467794418
10000,109.15711206876568,3528.6121179523166,24.917712926864624,0.06127574294805527
15000,108.74090198372832,3515.2350105498326,37.269179821014404,0.05934685096144676
20000,110.84571386824102,3582.8842474457224,49.609999895095825,0.05665293335914612
25000,109.31554408976353,3533.704166984936,61.88832998275757,0.05291172116994858
30000,109.7640081961643,3548.1179275667905,74.13653779029846,0.05787946283817291
35000,109.86443697405778,3551.3457363020375,86.46846675872803,0.049017250537872314
40000,111.45407772364959,3602.4372302449237,98.76279878616333,0.0534137561917305
45000,110.70401488583784,3578.330002907751,111.03441095352173,0.0559634268283844
50000,108.58098954680709,3510.0953805394347,123.30200481414795,0.049591369926929474
55000,111.82102134376379,3614.2308998204294,135.64067769050598,0.06584619730710983
60000,109.94734538208763,3554.0104354976,147.91114377975464,0.048077940940856934
65000,110.51686719428706,3572.315024270756,160.26373887062073,0.048872366547584534
70000,110.05427783619184,3557.4472741874524,172.57188200950623,0.04370501637458801
75000,108.91422789034937,3520.805753191243,184.8595929145813,0.03801095113158226
80000,108.8519381476298,3518.8037436090917,197.17090463638306,0.04837968572974205
85000,109.47505741221156,3538.83096934563,209.47137999534607,0.04739231988787651
90000,110.46283622675,3570.578454010238,221.7566418647766,0.049063391983509064
95000,108.89880204178348,3520.309962146147,234.00451397895813,0.05066071078181267
100000,109.85973394856916,3551.1945797603303,246.40226888656616,0.04598177969455719
105000,110.39772260795564,3568.485684268971,258.73929381370544,0.04971534013748169
110000,109.1091917548657,3527.071945792041,270.9483938217163,0.05134402960538864
115000,109.72084118183632,3546.730527771185,283.1890218257904,0.05181268975138664
120000,111.85154552607631,3615.211955493626,294.96915578842163,0.04528481885790825
125000,111.02883849940137,3588.769923807583,307.1344769001007,0.04652845114469528
130000,68.96362747472571,2236.7823915143135,317.77535486221313,0.049760133028030396
135000,48.47275240490604,1578.1999918224587,327.8625988960266,0.04761341214179993
140000,111.75679381314572,3612.16660919855,340.2412588596344,0.04775148630142212
145000,100.36864690984122,3246.1484137790585,352.0616099834442,0.04603664577007294
150000,55.96861215437531,1819.1190001487587,362.1613130569458,0.04724857211112976
155000,99.73392740905359,3225.7483532381784,374.01104378700256,0.04584900662302971
160000,111.05105782004638,3589.484058926754,386.28740882873535,0.052048664540052414
165000,109.66049162805032,3544.790876398694,398.60859274864197,0.04219801351428032
170000,94.05943709297043,3043.3686629291724,410.2602059841156,0.046621888875961304
175000,110.16388744345356,3560.9701573212246,422.5499167442322,0.044267382472753525
