step,norm_score,mean_reward,elapsed_s,critic_loss,cql_loss,actor_loss,temperature
5000,-1.0617518290892782,-411.9973426181846,86.91863822937012,16.98859405517578,0.23581942915916443,-277.83258056640625,0.4923574924468994
10000,-1.0681772548975357,-412.795070730772,175.2931489944458,51.055458068847656,0.848649263381958,-521.1795654296875,0.5685293674468994
15000,-3.4616181890904776,-709.9450458451807,264.0642650127411,29.107648849487305,3.86177396774292,-742.30517578125,0.7159006595611572
20000,-2.398412690654596,-577.9461805762304,354.4476511478424,116.55786895751953,6.668715476989746,-957.8568725585938,0.7985987663269043
25000,-4.383983760450406,-824.4583821303768,442.23730421066284,70.69557189941406,9.788497924804688,-1188.1865234375,0.8691577315330505
30000,-2.6097721320827043,-604.1868334635913,519.2745249271393,103.00164031982422,11.820151329040527,-1367.487548828125,0.9067789912223816
35000,-3.7766696620153284,-749.0592500028633,598.9079501628876,109.77116394042969,11.4542818069458,-1530.5238037109375,0.9587497115135193
40000,-1.3998093972954349,-453.967794675139,685.9092230796814,97.21012878417969,13.28955078125,-1665.66845703125,0.9494134783744812
45000,-4.246868784511076,-807.435312496146,774.54026222229,94.04908752441406,10.618573188781738,-1762.80029296875,0.9058701395988464
50000,-2.3710552128964495,-574.5497007555293,862.2283620834351,76.53749084472656,10.591536521911621,-1843.6951904296875,0.8826307654380798
55000,-3.660873116266737,-734.6829016267832,951.4701430797577,113.74504089355469,9.711076736450195,-1897.78759765625,0.869631826877594
60000,-4.044330275842045,-782.2897941961485,1038.577893257141,83.14486694335938,9.21274185180664,-1937.04296875,0.8625290393829346
65000,-2.2652457853567194,-561.413270977327,1124.9641590118408,166.31381225585938,10.322084426879883,-1957.453369140625,0.8661924004554749
70000,-4.886524561535343,-886.8497218969114,1211.1480939388275,155.24327087402344,9.390941619873047,-1956.2958984375,0.8459703922271729
75000,-4.626266642655433,-854.5382355286171,1295.9629220962524,180.73983764648438,9.290752410888672,-2005.910888671875,0.8318464756011963
80000,-4.755456098661542,-870.5773376801826,1380.9972651004791,249.17117309570312,9.514846801757812,-1955.438720703125,0.8245981335639954
85000,-1.8995323687260586,-516.0092958475,1470.1183109283447,96.27064514160156,7.298828601837158,-1993.6429443359375,0.790208101272583
90000,-2.915369475339525,-642.1272905045392,1558.7043251991272,82.71492004394531,7.2734150886535645,-1991.456787109375,0.7336203455924988
95000,-3.6376952874676896,-731.8053327039614,1649.4039311408997,119.1497573852539,11.931608200073242,-1972.5972900390625,0.6809244751930237
100000,-4.6073414205317045,-852.1886353347033,1739.9233553409576,120.95368194580078,10.969165802001953,-1971.255126953125,0.6024893522262573
105000,-2.5112871430864594,-591.9597458378651,1830.0101780891418,408.90814208984375,11.215531349182129,-2038.8748779296875,0.628669798374176
110000,-2.8208320772539452,-630.3903033547045,1917.9414460659027,104.08050537109375,9.517202377319336,-2008.90478515625,0.6155465245246887
115000,-4.710752838967546,-865.0273479913487,2005.8748471736908,224.49520874023438,11.981395721435547,-2057.9462890625,0.6841392517089844
120000,-2.3589550334893374,-573.0474418285023,2095.7749531269073,132.4898681640625,12.478760719299316,-2155.73779296875,0.6565077304840088
125000,-3.149114320371454,-671.1471313086657,2185.946392059326,257.1466064453125,11.568435668945312,-2162.51220703125,0.6900829076766968
130000,-3.507795595195446,-715.6780534489661,2273.622626066208,105.89929962158203,12.250293731689453,-2240.024658203125,0.6882727146148682
135000,-2.6204954307894717,-605.5181501877012,2361.860430240631,155.0987091064453,15.91263198852539,-2349.97509765625,0.6905527114868164
140000,-2.627195883541216,-606.3500233874914,2448.1727361679077,168.3144989013672,17.467031478881836,-2336.0390625,0.7269772887229919
145000,-3.2513121325352516,-683.835172574852,2535.7545342445374,219.51779174804688,17.607418060302734,-2465.10302734375,0.7272248864173889
150000,-3.0473721170061014,-658.515654690132,2622.792934179306,233.602783203125,21.75984001159668,-2547.41357421875,0.8139107823371887
